,ENSEMBLE,REAL,INTERPOLATE_RELPERM_INTERPOLATE_GO,INTERPOLATE_RELPERM_INTERPOLATE_WO,LOG10_MULTFLT_MULTFLT_F1,LOG10_MULTFLT_MULTFLT_F2,LOG10_MULTFLT_MULTFLT_F3,LOG10_MULTFLT_MULTFLT_F4,LOG10_MULTFLT_MULTFLT_F5,LOG10_MULTZ_MULTZ_MIDREEK,MULTFLT_MULTFLT_F1,MULTFLT_MULTFLT_F2,MULTFLT_MULTFLT_F3,MULTFLT_MULTFLT_F4,MULTFLT_MULTFLT_F5,MULTZ_MULTZ_MIDREEK,RMSGLOBPARAMS_COHIBA_MODEL_MODE,RMSGLOBPARAMS_FWL,INTERPOLATE_GO,INTERPOLATE_WO,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,COHIBA_MODEL_MODE,FWL
86,iter-1,86,-0.541831,-0.940466,-0.532067,-0.508419,-1.27255,-3.95986,-2.54683,-5.87099,0.29372,0.310157,0.0533893,0.000109682,0.00283903,1.34591e-06,1,1701.42,-0.541831,-0.940466,0.29372,0.310157,0.0533893,0.000109682,0.00283903,1.34591e-06,1,1701.42
87,iter-1,87,-0.672075,-0.997289,-0.0313316,-1.91012,-0.250865,-3.93478,-1.20508,-5.23017,0.930397,0.0122993,0.561223,0.000116205,0.0623627,5.88608e-06,1,1706.49,-0.672075,-0.997289,0.930397,0.0122993,0.561223,0.000116205,0.0623627,5.88608e-06,1,1706.49
88,iter-1,88,-0.998958,-0.960362,-0.391165,-0.402953,-0.772172,-3.76395,-4.26664,-3.17141,0.406289,0.395409,0.168977,0.000172207,5.41208e-05,0.000673889,1,1701.74,-0.998958,-0.960362,0.406289,0.395409,0.168977,0.000172207,5.41208e-05,0.000673889,1,1701.74
89,iter-1,89,-0.678191,-0.738158,-0.689982,-2.84478,-1.27641,-3.70891,-2.90951,-4.70692,0.204182,0.00142962,0.0529161,0.000195474,0.00123166,1.96372e-05,1,1700.28,-0.678191,-0.738158,0.204182,0.00142962,0.0529161,0.000195474,0.00123166,1.96372e-05,1,1700.28
90,iter-1,90,-0.304775,-0.952153,-0.380776,-4.19082,-1.0255,-4.34196,-2.93551,-1.75462,0.416125,6.44442e-05,0.0942971,4.55026e-05,0.00116008,0.0175948,1,1705.42,-0.304775,-0.952153,0.416125,6.44442e-05,0.0942971,4.55026e-05,0.00116008,0.0175948,1,1705.42
91,iter-1,91,0.188515,-0.997118,-0.914144,-2.18526,-0.965518,-4.27686,-2.80481,-0.25883,0.121859,0.00652736,0.108264,5.28616e-05,0.00156743,0.551024,1,1702.95,0.188515,-0.997118,0.121859,0.00652736,0.108264,5.28616e-05,0.00156743,0.551024,1,1702.95
92,iter-1,92,-0.649723,-0.95982,-0.090747,-1.21054,-0.714184,-2.1465,-2.88113,-2.17689,0.811434,0.0615823,0.193115,0.00713668,0.00131484,0.0066544,1,1705.13,-0.649723,-0.95982,0.811434,0.0615823,0.193115,0.00713668,0.00131484,0.0066544,1,1705.13
93,iter-1,93,-0.495334,-0.95211,-0.028213,-0.159991,-1.54731,-1.38727,-1.81269,-4.88025,0.937102,0.691845,0.0283591,0.0409952,0.0153924,1.3175e-05,1,1706.18,-0.495334,-0.95211,0.937102,0.691845,0.0283591,0.0409952,0.0153924,1.3175e-05,1,1706.18
94,iter-1,94,0.110852,-0.942206,-0.173849,-0.962964,-0.773969,-2.20221,-0.935123,-4.05605,0.670117,0.108902,0.168279,0.00627752,0.116112,8.78931e-05,1,1702.98,0.110852,-0.942206,0.670117,0.108902,0.168279,0.00627752,0.116112,8.78931e-05,1,1702.98
95,iter-1,95,0.231638,-0.905491,-0.44491,-2.02474,-0.717412,-0.855921,-3.45415,-2.58842,0.358996,0.00944619,0.191685,0.139341,0.000351439,0.00257977,1,1701.68,0.231638,-0.905491,0.358996,0.00944619,0.191685,0.139341,0.000351439,0.00257977,1,1701.68
96,iter-1,96,-0.916658,-0.729388,-0.462,-0.651848,-1.38294,-3.14642,-2.32671,-2.61708,0.345144,0.222921,0.0414056,0.000713813,0.00471294,0.00241501,1,1702.64,-0.916658,-0.729388,0.345144,0.222921,0.0414056,0.000713813,0.00471294,0.00241501,1,1702.64
97,iter-1,97,-0.641873,-0.897989,-0.469115,-1.332,-0.415104,-3.08351,-2.47888,-6.60955,0.339536,0.0465586,0.3845,0.000825069,0.00331989,2.45724e-07,1,1704.26,-0.641873,-0.897989,0.339536,0.0465586,0.3845,0.000825069,0.00331989,2.45724e-07,1,1704.26
98,iter-1,98,-0.72162,-0.993011,-0.194809,-1.52531,-0.373126,-1.95981,-3.7744,-5.9957,0.638544,0.0298327,0.42352,0.0109695,0.000168111,1.00996e-06,1,1703.61,-0.72162,-0.993011,0.638544,0.0298327,0.42352,0.0109695,0.000168111,1.00996e-06,1,1703.61
99,iter-1,99,-0.594736,-0.9881,-0.868723,-0.849537,-1.19762,-3.61018,-3.70277,-1.74382,0.135294,0.141405,0.0634422,0.000245367,0.00019826,0.0180378,1,1703.19,-0.594736,-0.9881,0.135294,0.141405,0.0634422,0.000245367,0.00019826,0.0180378,1,1703.19
0,iter-2,0,-0.463318,-0.951585,-0.203362,-0.59289,-1.01471,-1.44767,-1.65881,-3.9372,0.626092,0.255335,0.0966693,0.0356719,0.0219376,0.000115557,1,1704.45,-0.463318,-0.951585,0.626092,0.255335,0.0966693,0.0356719,0.0219376,0.000115557,1,1704.45
1,iter-2,1,-0.740891,-0.975669,-0.587222,-0.658182,-0.943694,-2.21581,-1.54884,-3.18304,0.258689,0.219694,0.113843,0.00608398,0.0282591,0.000656081,1,1704.39,-0.740891,-0.975669,0.258689,0.219694,0.113843,0.00608398,0.0282591,0.000656081,1,1704.39
2,iter-2,2,-0.0372456,-0.933278,-0.692025,-0.681708,-0.853365,-2.37789,-2.03141,-3.04148,0.203224,0.208109,0.140163,0.00418903,0.00930238,0.000908898,1,1702.54,-0.0372456,-0.933278,0.203224,0.208109,0.140163,0.00418903,0.00930238,0.000908898,1,1702.54
3,iter-2,3,-0.921508,-0.990971,-0.408815,-0.539924,-0.581572,-1.44656,-1.71154,-3.43145,0.390108,0.288454,0.262077,0.0357631,0.0194294,0.000370294,1,1704.94,-0.921508,-0.990971,0.390108,0.288454,0.262077,0.0357631,0.0194294,0.000370294,1,1704.94
